,work_year,employment_type,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,job_title,experience_level,company_size
0,2024,FT,202730,USD,202730,US,0,US,AI Engineer,Senior,Medium
1,2024,FT,92118,USD,92118,US,0,US,AI Engineer,Senior,Medium
2,2024,FT,130500,USD,130500,US,0,US,Data Engineer,Senior,Medium
3,2024,FT,96000,USD,96000,US,0,US,Data Engineer,Senior,Medium
4,2024,FT,190000,USD,190000,US,0,US,Machine Learning Engineer,Senior,Medium
5,2024,FT,160000,USD,160000,US,0,US,Machine Learning Engineer,Senior,Medium
6,2024,FT,400000,USD,400000,US,0,US,ML Engineer,Middle,Medium
7,2024,FT,65000,USD,65000,US,0,US,ML Engineer,Middle,Medium
8,2024,FT,101520,USD,101520,US,0,US,Data Analyst,Entry,Medium
9,2024,FT,45864,USD,45864,US,0,US,Data Analyst,Entry,Medium
10,2024,FT,172469,USD,172469,US,0,US,Data Engineer,Senior,Medium
11,2024,FT,114945,USD,114945,US,0,US,Data Engineer,Senior,Medium
12,2024,FT,200000,USD,200000,US,0,US,NLP Engineer,Expert,Medium
13,2024,FT,150000,USD,150000,US,0,US,NLP Engineer,Expert,Medium
14,2024,FT,156450,USD,156450,US,100,US,Data Scientist,Middle,Medium
15,2024,FT,119200,USD,119200,US,100,US,Data Scientist,Middle,Medium
16,2024,FT,170000,USD,170000,US,0,US,Data Analyst,Senior,Medium
17,2024,FT,130000,USD,130000,US,0,US,Data Analyst,Senior,Medium
18,2024,FT,222200,USD,222200,US,0,US,Applied Scientist,Senior,Large
19,2024,FT,136000,USD,136000,US,0,US,Applied Scientist,Senior,Large
20,2024,FT,128000,USD,128000,US,0,US,Data Manager,Middle,Medium
21,2024,FT,81500,USD,81500,US,0,US,Data Manager,Middle,Medium
22,2024,FT,93838,USD,93838,US,0,US,Data Architect,Senior,Medium
23,2024,FT,69535,USD,69535,US,0,US,Data Architect,Senior,Medium
24,2024,FT,75000,USD,75000,US,0,US,Data Analyst,Entry,Medium
25,2024,FT,65000,USD,65000,US,0,US,Data Analyst,Entry,Medium
26,2024,FT,150000,USD,150000,US,0,US,Data Operations Manager,Middle,Medium
27,2024,FT,125000,USD,125000,US,0,US,Data Operations Manager,Middle,Medium
28,2024,FT,260570,USD,260570,US,0,US,Research Scientist,Middle,Medium
29,2024,FT,167030,USD,167030,US,0,US,Research Scientist,Middle,Medium
30,2024,FT,120000,USD,120000,US,0,US,Data Engineer,Entry,Medium
31,2024,FT,100000,USD,100000,US,0,US,Data Engineer,Entry,Medium
32,2024,FT,190000,USD,190000,US,100,US,Data Engineer,Senior,Medium
33,2024,FT,155000,USD,155000,US,100,US,Data Engineer,Senior,Medium
34,2024,FT,174000,USD,174000,US,100,US,Data Analyst,Senior,Medium
35,2024,FT,116000,USD,116000,US,100,US,Data Analyst,Senior,Medium
36,2024,FT,100000,USD,100000,US,0,US,Data Analyst,Middle,Medium
37,2024,FT,80000,USD,80000,US,0,US,Data Analyst,Middle,Medium
38,2024,FT,145000,USD,145000,US,0,US,Data Analyst,Middle,Medium
39,2024,FT,95000,USD,95000,US,0,US,Data Analyst,Middle,Medium
40,2024,FT,120000,USD,120000,AU,0,AU,Data Scientist,Middle,Small
41,2024,FT,70000,USD,70000,AU,0,AU,Data Scientist,Middle,Small
42,2024,CT,130000,USD,130000,US,0,US,Data Scientist,Middle,Medium
43,2024,CT,110000,USD,110000,US,0,US,Data Scientist,Middle,Medium
44,2024,FT,240000,USD,240000,US,0,US,Data Scientist,Middle,Medium
45,2024,FT,180000,USD,180000,US,0,US,Data Scientist,Middle,Medium
46,2024,FT,202800,USD,202800,US,0,US,Business Intelligence Engineer,Senior,Medium
47,2024,FT,115000,USD,115000,US,0,US,Business Intelligence Engineer,Senior,Medium
48,2024,FT,80000,GBP,100000,GB,0,GB,Data Architect,Senior,Medium
49,2024,FT,45000,GBP,56250,GB,0,GB,Data Architect,Senior,Medium
50,2024,FT,90000,CAD,69230,CA,0,CA,Data Analyst,Senior,Medium
51,2024,FT,75000,CAD,57692,CA,0,CA,Data Analyst,Senior,Medium
52,2024,FT,112300,USD,112300,US,0,US,Data Analyst,Middle,Medium
53,2024,FT,75100,USD,75100,US,0,US,Data Analyst,Middle,Medium
54,2024,FT,178200,USD,178200,US,0,US,Business Intelligence,Middle,Medium
55,2024,FT,87000,USD,87000,US,0,US,Business Intelligence,Middle,Medium
56,2024,FT,138000,USD,138000,CA,0,CA,Data Scientist,Senior,Medium
57,2024,FT,72000,USD,72000,CA,0,CA,Data Scientist,Senior,Medium
